,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
139,hami,42.8,93.45,86.4,11,1,8.63,CN,1658852725
140,kitzbuhel,47.4464,12.3922,73.92,73,52,5.01,AT,1658852725
141,pokaran,26.9167,71.9167,81.55,83,99,15.97,IN,1658852725
142,biak,-0.9131,122.8766,75.09,90,99,6.46,ID,1658852725
143,mogadishu,2.0371,45.3438,76.08,82,29,20.49,SO,1658852725
144,puerto ayora,-0.7393,-90.3518,75.16,92,100,3.0,EC,1658852725
145,tessalit,20.1986,1.0114,106.52,5,4,4.0,ML,1658852725
146,sumenep,-7.0167,113.8667,77.86,76,96,4.63,ID,1658852726
147,bilma,18.6853,12.9164,103.84,9,9,6.71,NE,1658852726
148,port lincoln,-34.7333,135.8667,53.19,74,78,10.92,AU,1658852726
149,grand gaube,-20.0064,57.6608,70.38,73,2,4.0,MU,1658852726
150,khatanga,71.9667,102.5,69.8,49,100,7.65,RU,1658852726
151,nanga eboko,4.6833,12.3667,76.66,81,91,3.2,CM,1658852726
152,bredasdorp,-34.5322,20.0403,54.93,64,39,6.91,ZA,1658852726
153,svetlogorsk,52.6333,29.7333,75.49,61,34,2.91,BY,1658852726
154,esperance,-33.8667,121.9,53.44,81,94,10.89,AU,1658852502
155,bijar,35.8668,47.6051,80.74,20,4,8.75,IR,1658852727
156,san,13.3034,-4.8956,94.37,40,73,5.35,ML,1658852727
157,kieta,-6.2167,155.6333,78.37,83,100,1.59,PG,1658852727
158,yulara,-25.2406,130.9889,46.44,51,0,9.75,AU,1658852727
159,porto novo,6.4965,2.6036,80.42,83,99,11.1,BJ,1658852727
160,talnakh,69.4865,88.3972,60.21,86,57,6.44,RU,1658852727
161,nato,13.6105,123.5356,78.26,93,99,3.22,PH,1658852727
162,bathsheba,13.2167,-59.5167,88.41,82,40,21.85,BB,1658852727
163,tabou,4.423,-7.3528,77.77,78,89,9.66,CI,1658852728
