,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
118,halifax,44.6453,-63.5724,60.53,97,99,1.01,CA,1657878992
119,carutapera,-1.195,-46.02,75.31,91,16,7.74,BR,1657879065
120,comodoro rivadavia,-45.8667,-67.5,35.46,87,75,13.8,AR,1657879066
121,saint george,37.1041,-113.5841,81.63,52,91,4.0,US,1657879066
122,tautira,-17.7333,-149.15,76.5,56,93,20.38,PF,1657879066
123,yellowknife,62.456,-114.3525,57.72,82,20,10.36,CA,1657879000
124,bethel,41.3712,-73.414,67.5,84,41,4.97,US,1657879066
125,bossangoa,6.4926,17.4552,84.49,61,100,3.98,CF,1657879066
126,mokhsogollokh,61.4681,128.9203,77.0,69,99,2.66,RU,1657879066
127,saint-augustin,51.226,-58.6502,58.17,71,98,3.96,CA,1657879067
128,kahului,20.8947,-156.47,76.84,92,33,5.01,US,1657879067
129,ketchikan,55.3422,-131.6461,55.87,94,100,12.66,US,1657879067
130,mezhdurechenskiy,59.6,65.9333,86.97,39,28,5.39,RU,1657879067
131,nyagan,62.1406,65.3936,88.12,31,79,2.62,RU,1657879067
132,diamantino,-14.4086,-56.4461,65.46,57,83,5.19,BR,1657879067
133,yeppoon,-23.1333,150.7333,58.78,81,0,15.55,AU,1657879067
134,karratha,-20.7377,116.8463,70.5,38,25,9.4,AU,1657879068
135,upernavik,72.7868,-56.1549,45.36,71,0,6.17,GL,1657879068
136,fortuna,40.5982,-124.1573,56.66,90,100,3.58,US,1657879068
137,diplo,24.4667,69.584,96.75,47,78,13.31,PK,1657879068
138,bambous virieux,-20.3428,57.7575,76.21,64,75,10.36,MU,1657879068
139,luangwa,-15.6167,30.4167,82.58,32,2,10.54,ZM,1657878913
140,maceio,-9.6658,-35.7353,71.04,88,75,5.75,BR,1657879068
141,baley,51.6,116.6333,66.06,77,100,3.71,RU,1657879068
142,abu samrah,35.3029,37.1841,96.91,21,0,15.28,SY,1657879068
143,vao,-22.6667,167.4833,69.28,63,53,16.42,NC,1657879068
144,awjilah,29.1081,21.2869,87.35,25,0,8.23,LY,1657879069
145,bilaspur,22.0833,82.15,87.89,63,100,6.73,IN,1657879069
146,tasiilaq,65.6145,-37.6368,42.6,76,100,18.61,GL,1657879069
147,tura,25.5198,90.2201,90.61,63,45,1.79,IN,1657879069
148,ust-tsilma,65.441,52.1498,80.08,58,63,5.79,RU,1657878987
149,saskylakh,71.9167,114.0833,59.05,42,47,7.85,RU,1657879069
150,qiongshan,20.0058,110.3542,84.18,89,40,4.47,CN,1657879069
151,esperance,-33.8667,121.9,60.64,77,21,22.86,AU,1657879069
152,lavrentiya,65.5833,-171.0,45.32,79,100,8.97,RU,1657879069
153,carnarvon,-24.8667,113.6333,68.68,65,2,16.35,AU,1657879070
154,taoudenni,22.6783,-3.9836,106.3,9,9,24.83,ML,1657879070
155,altay,47.8667,88.1167,76.48,20,1,10.13,CN,1657879070
156,codrington,-38.2667,141.9667,50.13,69,100,11.83,AU,1657878992
157,kavali,14.9167,79.9833,95.85,38,77,22.06,IN,1657879016
158,marsh harbour,26.5412,-77.0636,81.75,72,72,14.07,BS,1657879070
159,fukue,32.6881,128.8419,79.16,83,75,4.61,JP,1657879070
160,pathein,16.7833,94.7333,80.58,85,98,8.84,MM,1657879070
161,tecoanapa,16.5167,-98.75,75.88,86,100,5.79,MX,1657879070
162,bahia de caraquez,-0.6,-80.4167,69.98,86,98,3.89,EC,1657878892
163,rundu,-17.9333,19.7667,74.07,18,0,11.23,NA,1657879071
164,pescara,42.3333,13.95,92.89,16,0,7.78,IT,1657879032
165,brandfort,-28.7001,26.4597,60.21,22,0,8.32,ZA,1657879071
166,salalah,17.0151,54.0924,78.76,94,100,6.85,OM,1657878945
167,abidjan,5.3094,-4.0197,75.16,100,100,4.61,CI,1657878811
168,saldanha,-33.0117,17.9442,60.85,68,44,9.35,ZA,1657879027
169,keetmanshoop,-26.5833,18.1333,69.06,15,0,11.18,NA,1657879071
170,ribeira grande,38.5167,-28.7,73.8,64,20,6.91,PT,1657879071
171,poum,-20.2333,164.0167,73.02,58,46,22.03,NC,1657879072
172,taltal,-25.4,-70.4833,52.34,73,0,5.28,CL,1657879072
173,viedma,-40.8135,-62.9967,46.31,87,100,15.68,AR,1657878786
174,coihaique,-45.5752,-72.0662,30.81,86,75,2.3,CL,1657879072
175,provideniya,64.3833,-173.3,49.15,77,92,3.85,RU,1657879072
176,la porte,29.6658,-95.0194,78.96,92,96,5.21,US,1657879072
177,soria,41.6667,-2.6667,88.63,18,7,10.02,ES,1657878987
178,college,64.8569,-147.8028,58.28,68,0,3.44,US,1657879073
179,klaksvik,62.2266,-6.589,50.92,85,80,21.45,FO,1657878930
180,ransang,8.9603,117.5828,81.39,85,98,6.87,PH,1657879073
181,kruisfontein,-34.0033,24.7314,60.89,52,7,7.05,ZA,1657879073
182,thinadhoo,0.5333,72.9333,84.2,73,93,10.6,MV,1657879074
183,saint-georges,12.0564,-61.7485,78.48,94,75,4.61,GD,1657879074
184,vavozh,56.7751,51.931,72.75,65,99,6.29,RU,1657879074
185,saint anthony,45.0205,-93.218,73.33,82,75,17.27,US,1657879075
186,te anau,-45.4167,167.7167,37.11,98,100,2.01,NZ,1657879075
